username,password,proxyIPPort,proxyUser,proxyPass
Corinna_Hilchey_2D3A0,C8AC89EFEA504,168.91.14.44:3128,,
Cynthia.Sprengeler_BE9F6,038E3AFC4B334,168.91.14.44:3128,,
Daniel_Garringer_1A467,9CE7D416,196.19.2.233:3128,,
Daniele_Cose_68A81,B3A3A881E03,196.19.2.233:3128,,
Danille_Okeeffe_E9753,6ACF80B3D5,196.19.2.233:3128,,
Darcie_Brecheen_ADA0E,605626BF,75.127.1.199:3128,,
Debbie.Tatsak_2B882,A93B003095,75.127.1.199:3128,,
Debbra_Abbatiello_F22D4,BAFADCA38ED,75.127.1.199:3128,,
Debroah.Medal_105AD,1D058A182F9A4,107.172.80.217:3128,,
Deeann_Partman_33E80,F7C9267115,107.172.80.217:3128,,
Della.Meeks_6D112,C10760EE03A84,107.172.80.217:3128,,
Demetrius_Froyd_47BBD,0C65215E5,107.172.80.217:3128,,
Deonna.Sotto_1CA22,A7D07B7786DF,107.174.147.82:3128,,
Dian.Latouche_33AF0,26DD01861E8,107.174.147.82:3128,,
Dianne.Wheelis_012C2,58A5763513B54,107.174.147.82:3128,,
Dorathy_Vollbrecht_E5C4B,69748B9940D,142.147.108.161:3128,,
Evelia.Macayan.DAC06,459C248C2483,192.186.190.138:3128,,
Jene.Kennamore.7ED8D,F41203ED2F81,68.65.221.78:3128,,
Rebekah.Kasimis.FEA30,E21E3A9BDB264,23.89.145.56:3128,,
Leila.Haselhuhn.48FE1,9A608D3F,192.241.110.221:3128,,
Dalila.Mitton.6FD29,1E13F6E53E,23.244.120.238:3128,,
Myung.Vidaca.1EDB5,4595A5CBAB,216.180.109.153:3128,,
Kimberli.Redman.29857,A41BFA84,139.180.231.137:3128,,
Aileen.Finnel.C1BFA,9A2DEEA1562,104.227.71.73:3128,,
Awilda.Conditt.4DEC0,D468AD43FDD44,107.172.76.168:3128,,
Hyun.Tumminello.4B5A2,2A49F553A58E,216.180.105.217:3128,,
Lucille.Gaulden.6DBA4,B91750567F,23.88.190.79:3128,,
Myrtie.Bartko.66DE8,27934118,216.180.109.153:3128,,
Lashell.Schweder.A959E,A00682648AA74,192.241.110.221:3128,,
Charlyn.Kiles.FF271,ECBAC44F9E1B4,209.251.20.156:3128,,
Rema.Brasil.43C44,76E46D989D2A4,23.89.145.56:3128,,
Jodie.Nore.2444C,2306E2A8511A4,68.65.221.78:3128,,
Brittany.Glanton.BB6E7,69115FC524A64,168.245.143.226:3128,,
Gerry.Winks.EE3B7,99D05814D3,216.180.105.217:3128,,
Nisha.Ohl.09308,4892A7882C,23.245.143.31:3128,,
Shae.Montesi.E7C96,3065F57C9,23.89.246.164:3128,,
Daniele.Jobes.6C8EC,EAAF695E806,23.244.120.238:3128,,
Gladis.Werking.3460A,D3A439FC45A1,216.180.105.217:3128,,
Holli.Eutsler.AA68C,D3C30BD639E,216.180.105.217:3128,,
Tristan.Vanweelden.B4939,F16A3B8856FF,199.34.84.200:3128,,
Classie.Mallat.1B9A9,B28115FE8B,23.244.120.238:3128,,
